vehicle_id,date,miles,cargo_kg
V001,2023-12-31,50.0,100
V001,2024-01-02,120.5,250
V001,2024-01-03,85.0,180
V001,2024-01-05,60.25,300
V001,2024-01-07,140.0,450
V001,2024-01-08,95.5,200
V001,2024-01-10,110.0,350
V001,2024-01-12,75.25,120
V001,2024-01-15,130.0,500
V001,2024-01-16,90.0,600
V001,2024-01-18,80.5,400
V002,2024-01-02,200.0,800
V002,2024-01-04,150.75,600
V002,2024-01-05,180.25,1200
V002,2024-01-06,90.0,400
V002,2024-01-09,210.5,1000
V002,2024-01-11,165.0,700
V002,2024-01-13,120.0,500
V002,2024-01-14,95.5,300
V002,2024-01-17,130.0,900
V002,2024-01-19,110.0,1100
V002,2024-01-20,175.0,1300
V002,2024-01-21,85.0,200
V002,2024-01-22,140.0,750
V003,2024-01-03,110.0,600
V003,2024-01-04,130.5,450
V003,2024-01-06,75.0,300
V003,2024-01-07,160.25,800
V003,2024-01-08,115.0,500
V003,2024-01-10,140.75,650
V003,2024-01-11,90.25,350
V003,2024-01-12,100.0,400
V003,2024-01-15,125.5,700
V003,2024-01-16,105.0,550
V003,2024-01-18,95.0,250
V003,2024-01-20,120.0,850
